chemical_name,toxid,toxprofiles_id,toxfaqs_faqid,toxprofiles_url,toxfaqs_url
"1,1,1-Trichloroethane",76,432,431,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=432&tid=76,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=431&toxid=76
"1,1,2,2-Tetrachloroethane",156,801,800,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=801&tid=156,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=800&toxid=156
"1,1,2-Trichloroethane",155,796,795,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=796&tid=155,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=795&toxid=155
"1,1-Dichloroethane",129,718,717,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=718&tid=129,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=717&toxid=129
"1,1-Dichloroethene",130,722,721,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=722&tid=130,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=721&toxid=130
"1,2,3-Trichloropropane",186,912,911,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=912&tid=186,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=911&toxid=186
"1,2-Dibromo-3-Chloropropane",166,852,851,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=852&tid=166,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=851&toxid=166
"1,2-Dibromoethane",131,726,725,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=726&tid=131,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=725&toxid=131
"1,2-Dichloroethane",110,592,591,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=592&tid=110,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=591&toxid=110
"1,2-Dichloroethene",82,464,463,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=464&tid=82,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=463&toxid=82
"1,2-Dichloropropane",162,831,830,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=831&tid=162,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=830&toxid=162
"1,2-Diphenylhydrazine",198,952,951,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=952&tid=198,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=951&toxid=198
"1,3 Dinitrobenzene & 1,3,5 Trinitrobenzene",164,842,841,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=842&tid=164,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=841&toxid=164
"1,3-Butadiene",81,459,458,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=459&tid=81,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=458&toxid=81
"1,4-Dioxane",199,955,954,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=955&tid=199,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=954&toxid=199
1-Bromopropane,285,1471,1473,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=1471&tid=285,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=1473&toxid=285
"2,3-Benzofuran",187,915,914,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=915&tid=187,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=914&toxid=187
"2,4,6-Trinitrotoluene (TNT)",125,677,676,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=677&tid=125,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=676&toxid=125
"2,4-Dichlorophenoxyacetic Acid (2,4-D)",288,1481,1501,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=1481&tid=288,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=1501&toxid=288
2-Butanone,60,343,342,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=343&tid=60,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=342&toxid=60
2-Butoxyethanol and 2-Butoxyethanol Acetate,61,347,346,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=347&tid=61,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=346&toxid=61
2-Hexanone,134,738,737,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=738&tid=134,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=737&toxid=134
"3,3′-Dichlorobenzidine",200,959,958,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=959&tid=200,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=958&toxid=200
"4,4′-Methylenebis(2-Chloroaniline) (MBOCA)",209,997,996,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=997&tid=209,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=996&toxid=209
"4,4′-Methylenedianiline",210,1001,1000,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=1001&tid=210,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=1000&toxid=210
Acetone,1,5,4,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=5&tid=1,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=4&toxid=1
Acrolein,102,557,555,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=557&tid=102,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=555&toxid=102
Acrylamide,236,1112,1162,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=1112&tid=236,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=1162&toxid=236
Acrylonitrile,78,447,446,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=447&tid=78,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=446&toxid=78
Aldrin and Dieldrin,56,317,316,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=317&tid=56,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=316&toxid=56
Aluminum,34,191,190,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=191&tid=34,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=190&toxid=34
Americium,158,811,810,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=811&tid=158,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=810&toxid=158
Ammonia,2,11,10,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=11&tid=2,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=10&toxid=2
Aniline,79,,449,,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=449&toxid=79
Antimony,58,332,331,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=332&tid=58,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=331&toxid=58
Arsenic,3,22,19,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=22&tid=3,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=19&toxid=3
Asbestos,4,30,29,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=30&tid=4,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=29&toxid=4
Atrazine,59,338,854,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=338&tid=59,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=854&toxid=59
Barium,57,327,326,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=327&tid=57,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=326&toxid=57
Benzene,14,40,38,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=40&tid=14,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=38&toxid=14
Benzidine,105,569,568,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=569&tid=105,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=568&toxid=105
Beryllium,33,1441,184,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=1441&tid=33,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=184&toxid=33
