substance_nmbr,name,casrn,iris_url
2,Acrylic acid,79-10-7,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=2
3,Aldicarb,116-06-3,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=3
4,Allyl alcohol,107-18-6,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=4
5,Aluminum phosphide,20859-73-8,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=5
6,Antimony,7440-36-0,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=6
7,Ammonium sulfamate,7773-06-0,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=7
8,Apollo,74115-24-5,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=8
9,Barium cyanide,542-62-1,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=9
10,Barium and Compounds,7440-39-3,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=10
11,Benomyl,17804-35-2,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=11
12,Beryllium and compounds,7440-41-7,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=12
13,Biphenyl,92-52-4,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=13
14,Di (2-ethylhexyl)phthalate (DEHP),117-81-7,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=14
15,Bromomethane,74-83-9,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=15
16,Butylphthalyl butylglycolate (BPBG),85-70-1,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=16
17,Calcium cyanide,592-01-8,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=17
18,Captan,133-06-2,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=18
19,Carbaryl,63-25-2,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=19
20,Carbon tetrachloride,56-23-5,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=20
21,Carbosulfan,55285-14-8,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=21
22,Carboxin,5234-68-4,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=22
23,Chloramben,133-90-4,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=23
24,Chlorine cyanide,506-77-4,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=24
25,Chloroform,67-66-3,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=25
26,Chlorpyrifos,2921-88-2,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=26
27,Chlorsulfuron,64902-72-3,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=27
28,"Chromium(III), insoluble salts",16065-83-1,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=28
29,Copper cyanide,544-92-3,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=29
30,Tricresol,1319-77-3,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=30
31,"Cyanide, free",57-12-5,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=31
32,Cyanogen,460-19-5,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=32
33,"4-(2,4-Dichlorophenoxy)butyric acid (2,4-DB)",94-82-6,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=33
34,Danitol,39515-41-8,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=34
35,"2,2',3,3',4,4',5,5',6,6'-Decabromodiphenyl ether (BDE-209)",1163-19-5,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=35
36,Demeton,8065-48-3,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=36
37,N-Nitroso-di-n-butylamine,924-16-3,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=37
38,Dibutyl phthalate (DBP),84-74-2,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=38
39,"1,1-Dichloroethylene (1,1-DCE)",75-35-4,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=39
40,Dichlorodifluoromethane,75-71-8,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=40
41,"2,4-Dichlorophenol",120-83-2,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=41
42,N-Nitrosodiethylamine,55-18-5,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=42
43,Dimethipin,55290-64-7,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=43
44,Dimethoate,60-51-5,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=44
45,N-Nitrosodimethylamine,62-75-9,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=45
46,Dimethyl terephthalate (DMT),120-61-6,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=46
47,Dinoseb,88-85-7,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=47
48,Diphenylamine,122-39-4,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=48
49,"1,2-Diphenylhydrazine",122-66-7,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=49
50,Epichlorohydrin,106-89-8,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=50
51,Ethylbenzene,100-41-4,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=51
52,Ethylphthalyl ethylglycolate (EPEG),84-72-0,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=52
53,Fluorine (soluble fluoride),7782-41-4,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=53
54,Fluridone,59756-60-4,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=54
55,Formic acid,64-18-6,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=55
56,Furan,110-00-9,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=56
57,Glyphosate,1071-83-6,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=57
58,Hexachlorobutadiene,87-68-3,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=58
59,Hexachlorocyclopentadiene (HCCPD),77-47-4,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=59
60,Hydrogen Cyanide and Cyanide Salts,Various,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=60
61,Hydrogen sulfide,7783-06-4,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=61
62,Imazaquin,81335-37-7,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=62
63,Isophorone,78-59-1,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=63
64,Isopropalin,33820-53-0,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=64
65,gamma-Hexachlorocyclohexane (gamma-HCH),58-89-9,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=65
66,2-Methyl-4-chlorophenoxyacetic acid (MCPA),94-74-6,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=66
67,2-(2-Methyl-4-chlorophenoxy)propionic acid (MCPP),93-65-2,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=67
68,Metalaxyl,57837-19-1,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=68
69,Methomyl,16752-77-5,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=69
70,Dichloromethane,75-09-2,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=70
71,Methyl ethyl ketone (MEK),78-93-3,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=71
73,Methylmercury (MeHg),22967-92-6,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=73
74,Metolachlor,51218-45-2,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=74
75,Metribuzin,21087-64-9,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=75
76,Nitrate,14797-55-8,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=76
77,Nitric oxide,10102-43-9,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=77
78,Nitrite,14797-65-0,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=78
79,Nitrobenzene,98-95-3,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=79
80,Nitrogen dioxide,10102-44-0,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=80
81,N-Nitrosopyrrolidine,930-55-2,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=81
82,Norflurazon,27314-13-2,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=82
83,Oryzalin,19044-88-3,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=83
84,Oxyfluorfen,42874-03-3,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=84
85,Pentachlorobenzene,608-93-5,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=85
86,Pentachlorophenol,87-86-5,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=86
87,m-Phenylenediamine,108-45-2,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=87
88,Phenol,108-95-2,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=88
89,Phenylmercuric acetate,62-38-4,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=89
90,Phosphine,7803-51-2,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=90
91,Phosmet,732-11-6,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=91
92,Potassium cyanide,151-50-8,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=92
93,Potassium silver cyanide,506-61-6,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=93
94,Prometon,1610-18-0,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=94
95,Pronamide,23950-58-5,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=95
96,Propachlor,1918-16-7,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=96
97,Selenious acid,7783-00-8,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=97
98,Selenourea,630-10-4,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=98
99,Silver,7440-22-4,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=99
100,Silver cyanide,506-64-9,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=100
101,Sodium cyanide,143-33-9,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=101
102,Sodium diethyldithiocarbamate,148-18-5,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=102
103,Strychnine,57-24-9,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=103
104,Styrene,100-42-5,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=104
105,Terbacil,5902-51-2,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=105
106,Tetrachloroethylene (Perchloroethylene),127-18-4,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=106
107,"1,2,4,5-Tetrachlorobenzene",95-94-3,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=107
108,"2,3,4,6-Tetrachlorophenol",58-90-2,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=108
